tree_tip_raw,tree_tip_display,tree_tip_clean_original,tree_tip_clean,was_remapped
Eulemur_mongoz,Eulemur mongoz,eulemur mongoz,eulemur mongoz,FALSE
Eulemur_rubriventer,Eulemur rubriventer,eulemur rubriventer,eulemur rubriventer,FALSE
Euoticus_elegantulus,Euoticus elegantulus,euoticus elegantulus,euoticus elegantulus,FALSE
Galago_alleni,Galago alleni,galago alleni,galago alleni,FALSE
Galago_gallarum,Galago gallarum,galago gallarum,galago gallarum,FALSE
Galago_granti,Galago granti,galago granti,galago granti,FALSE
Galago_matschiei,Galago matschiei,galago matschiei,galago matschiei,FALSE
Galago_moholi,Galago moholi,galago moholi,galago moholi,FALSE
Galago_senegalensis,Galago senegalensis,galago senegalensis,galago senegalensis,FALSE
Galagoides_demidoff,Galagoides demidoff,galagoides demidoff,galagoides demidoff,FALSE
Galagoides_zanzibaricus,Galagoides zanzibaricus,galagoides zanzibaricus,galagoides zanzibaricus,FALSE
Gorilla_beringei,Gorilla beringei,gorilla beringei,gorilla beringei,FALSE
Gorilla_gorilla_gorilla,Gorilla gorilla gorilla,gorilla gorilla,gorilla gorilla,FALSE
Gorilla_gorilla_graueri,Gorilla gorilla graueri,gorilla gorilla,gorilla gorilla,FALSE
Hapalemur_aureus,Hapalemur aureus,hapalemur aureus,hapalemur aureus,FALSE
Hapalemur_griseus,Hapalemur griseus,hapalemur griseus,hapalemur griseus,FALSE
Hapalemur_griseus_alaotrensis,Hapalemur griseus alaotrensis,hapalemur griseus,hapalemur griseus,FALSE
Hapalemur_griseus_griseus,Hapalemur griseus griseus,hapalemur griseus,hapalemur griseus,FALSE
Hapalemur_griseus_meridionalis,Hapalemur griseus meridionalis,hapalemur griseus,hapalemur griseus,FALSE
Hapalemur_griseus_occidentalis,Hapalemur griseus occidentalis,hapalemur griseus,hapalemur griseus,FALSE
Hapalemur_simus,Hapalemur simus,hapalemur simus,hapalemur simus,FALSE
Homo_sapiens,Homo sapiens,homo sapiens,homo sapiens,FALSE
Homo_sapiens_neanderthalensis,Homo sapiens neanderthalensis,homo sapiens,homo sapiens,FALSE
Hylobates_agilis,Hylobates agilis,hylobates agilis,hylobates agilis,FALSE
Hylobates_klossii,Hylobates klossii,hylobates klossii,hylobates klossii,FALSE
Hylobates_lar,Hylobates lar,hylobates lar,hylobates lar,FALSE
Hylobates_moloch,Hylobates moloch,hylobates moloch,hylobates moloch,FALSE
Hylobates_muelleri,Hylobates muelleri,hylobates muelleri,hylobates muelleri,FALSE
Hylobates_pileatus,Hylobates pileatus,hylobates pileatus,hylobates pileatus,FALSE
Indri_indri,Indri indri,indri indri,indri indri,FALSE
Lagothrix_lagotricha,Lagothrix lagotricha,lagothrix lagotricha,lagothrix lagotricha,FALSE
Lemur_catta,Lemur catta,lemur catta,lemur catta,FALSE
Leontopithecus_chrysomelas,Leontopithecus chrysomelas,leontopithecus chrysomelas,leontopithecus chrysomelas,FALSE
Leontopithecus_chrysopygus,Leontopithecus chrysopygus,leontopithecus chrysopygus,leontopithecus chrysopygus,FALSE
Leontopithecus_rosalia,Leontopithecus rosalia,leontopithecus rosalia,leontopithecus rosalia,FALSE
Lepilemur_aeeclis,Lepilemur aeeclis,lepilemur aeeclis,lepilemur aeeclis,FALSE
Lepilemur_ankaranensis,Lepilemur ankaranensis,lepilemur ankaranensis,lepilemur ankaranensis,FALSE
Lepilemur_dorsalis,Lepilemur dorsalis,lepilemur dorsalis,lepilemur dorsalis,FALSE
Lepilemur_edwardsi,Lepilemur edwardsi,lepilemur edwardsi,lepilemur edwardsi,FALSE
Lepilemur_hubbardorum,Lepilemur hubbardorum,lepilemur hubbardorum,lepilemur hubbardorum,FALSE
Lepilemur_leucopus,Lepilemur leucopus,lepilemur leucopus,lepilemur leucopus,FALSE
Lepilemur_manasamody,Lepilemur manasamody,lepilemur manasamody,lepilemur manasamody,FALSE
Lepilemur_microdon,Lepilemur microdon,lepilemur microdon,lepilemur microdon,FALSE
Lepilemur_mitsinjoensis,Lepilemur mitsinjoensis,lepilemur mitsinjoensis,lepilemur mitsinjoensis,FALSE
Lepilemur_mustelinus,Lepilemur mustelinus,lepilemur mustelinus,lepilemur mustelinus,FALSE
Lepilemur_otto,Lepilemur otto,lepilemur otto,lepilemur otto,FALSE
Lepilemur_randrianasoli,Lepilemur randrianasoli,lepilemur randrianasoli,lepilemur randrianasoli,FALSE
Lepilemur_ruficaudatus,Lepilemur ruficaudatus,lepilemur ruficaudatus,lepilemur ruficaudatus,FALSE
Lepilemur_sahamalazensis,Lepilemur sahamalazensis,lepilemur sahamalazensis,lepilemur sahamalazensis,FALSE
