scientific_name_raw,scientific_name_display,scientific_name_clean_original,scientific_name_clean,was_merged
Callicebus hoffmannsi,Callicebus hoffmannsi,callicebus hoffmannsi,callicebus hoffmannsi,FALSE
Callicebus lucifer,Callicebus lucifer,callicebus lucifer,callicebus lucifer,FALSE
Callicebus lugens,Callicebus lugens,callicebus lugens,callicebus lugens,FALSE
Callicebus medemi,Callicebus medemi,callicebus medemi,callicebus medemi,FALSE
Callicebus melanochir,Callicebus melanochir,callicebus melanochir,callicebus melanochir,FALSE
Callicebus modestus,Callicebus modestus,callicebus modestus,callicebus modestus,FALSE
Callicebus moloch,Callicebus moloch,callicebus moloch,callicebus moloch,FALSE
Callicebus nigrifrons,Callicebus nigrifrons,callicebus nigrifrons,callicebus nigrifrons,FALSE
Callicebus oenanthe,Callicebus oenanthe,callicebus oenanthe,callicebus oenanthe,FALSE
Callicebus olallae,Callicebus olallae,callicebus olallae,callicebus olallae,FALSE
Callicebus ornatus,Callicebus ornatus,callicebus ornatus,callicebus ornatus,FALSE
Callicebus pallescens,Callicebus pallescens,callicebus pallescens,callicebus pallescens,FALSE
Callicebus personatus,Callicebus personatus,callicebus personatus,callicebus personatus,FALSE
Callicebus purinus,Callicebus purinus,callicebus purinus,callicebus purinus,FALSE
Callicebus regulus,Callicebus regulus,callicebus regulus,callicebus regulus,FALSE
Callicebus stephennashi,Callicebus stephennashi,callicebus stephennashi,callicebus stephennashi,FALSE
Callicebus torquatus,Callicebus torquatus,callicebus torquatus,callicebus torquatus,FALSE
Chiropotes albinasus,Chiropotes albinasus,chiropotes albinasus,chiropotes albinasus,FALSE
Chiropotes chiropotes,Chiropotes chiropotes,chiropotes chiropotes,chiropotes chiropotes,FALSE
Chiropotes israelita,Chiropotes israelita,chiropotes israelita,chiropotes israelita,FALSE
Chiropotes satanas,Chiropotes satanas,chiropotes satanas,chiropotes satanas,FALSE
Chiropotes utahickae,Chiropotes utahickae,chiropotes utahickae,chiropotes utahickae,FALSE
Pithecia aequatorialis,Pithecia aequatorialis,pithecia aequatorialis,pithecia aequatorialis,FALSE
Pithecia albicans,Pithecia albicans,pithecia albicans,pithecia albicans,FALSE
Pithecia irrorata,Pithecia irrorata,pithecia irrorata,pithecia irrorata,FALSE
Pithecia monachus,Pithecia monachus,pithecia monachus,pithecia monachus,FALSE
Pithecia pithecia,Pithecia pithecia,pithecia pithecia,pithecia pithecia,FALSE
