scientific_name_clean,scientific_name_raw,scientific_name_display,scientific_name_clean_original,merged_from_species,n_rows_collapsed,n_unique_input_species,routine_trichromacy,routine_trichromacy_conflict,diet_pct_fruit_eltontraits,diet_pct_fruit_n,diet_pct_fruit_min,diet_pct_fruit_max,max_longevity_years_pantheria,max_longevity_pantheria_n,included_in_core_non_nocturnal_build,included_in_core_conflict,order,order_conflict,foraging_stratum_eltontraits,foraging_stratum_conflict,abs_latitude_mid_dd,abs_latitude_mid_pantheria,lat_mid_dd_pantheria,lat_midrange_dd_pantheria,lat_min_dd_pantheria,lat_max_dd_pantheria
cebus kaapori,Cebus kaapori,Cebus kaapori,cebus kaapori,cebus kaapori,1,1,0,FALSE,70,1,70,70,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,3,NA,-3,NA,-4.16,-1.84
cebus libidinosus,Cebus libidinosus,Cebus libidinosus,cebus libidinosus,cebus libidinosus,1,1,0,FALSE,40,1,40,40,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,18.08,NA,-18.08,NA,-21.99,-14.16
cebus nigritus,Cebus nigritus,Cebus nigritus,cebus nigritus,cebus nigritus,1,1,0,FALSE,40,1,40,40,44,1,1,FALSE,Primates,FALSE,arboreal,FALSE,23.1,NA,-23.1,NA,-29.8,-16.41
cebus olivaceus,Cebus olivaceus,Cebus olivaceus,cebus olivaceus,cebus olivaceus,1,1,0,FALSE,20,1,20,20,41,1,1,FALSE,Primates,FALSE,arboreal,FALSE,4.78,NA,4.78,NA,-1.8,11.37
cebus xanthosternos,Cebus xanthosternos,Cebus xanthosternos,cebus xanthosternos,cebus xanthosternos,1,1,0,FALSE,40,1,40,40,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,14.09,NA,-14.09,NA,-15.16,-13.02
cercocebus agilis,Cercocebus agilis,Cercocebus agilis,cercocebus agilis,cercocebus agilis,1,1,1,FALSE,70,1,70,70,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,3.9,NA,3.9,NA,-1.04,8.86
cercocebus atys,Cercocebus atys,Cercocebus atys,cercocebus atys,cercocebus atys,1,1,1,FALSE,40,1,40,40,26.8,1,1,FALSE,Primates,FALSE,arboreal,FALSE,7.92,NA,7.92,NA,4.35,11.49
cercocebus chrysogaster,Cercocebus chrysogaster,Cercocebus chrysogaster,cercocebus chrysogaster,cercocebus chrysogaster,1,1,1,FALSE,70,1,70,70,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,2.7,NA,-2.7,NA,-7,1.6
cercocebus galeritus,Cercocebus galeritus,Cercocebus galeritus,cercocebus galeritus,cercocebus galeritus,1,1,1,FALSE,70,1,70,70,21,1,1,FALSE,Primates,FALSE,arboreal,FALSE,2.1,NA,-2.1,NA,-3.29,-0.92
cercocebus sanjei,Cercocebus sanjei,Cercocebus sanjei,cercocebus sanjei,cercocebus sanjei,1,1,1,FALSE,70,1,70,70,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,8.63,NA,-8.63,NA,-9.94,-7.32
cercocebus torquatus,Cercocebus torquatus,Cercocebus torquatus,cercocebus torquatus,cercocebus torquatus,1,1,1,FALSE,70,1,70,70,30,1,1,FALSE,Primates,FALSE,arboreal,FALSE,4.2,NA,4.2,NA,-2.58,10.99
cercopithecus albogularis,Cercopithecus albogularis,Cercopithecus albogularis,cercopithecus albogularis,cercopithecus albogularis,1,1,1,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,12.6,NA,-12.6,NA,-33,7.78
cercopithecus ascanius,Cercopithecus ascanius,Cercopithecus ascanius,cercopithecus ascanius,cercopithecus ascanius,1,1,1,FALSE,50,1,50,50,28.3,1,1,FALSE,Primates,FALSE,arboreal,FALSE,2.71,NA,-2.71,NA,-12.21,6.79
cercopithecus campbelli,Cercopithecus campbelli,Cercopithecus campbelli,cercopithecus campbelli,cercopithecus campbelli,1,1,1,FALSE,50,1,50,50,33,1,1,FALSE,Primates,FALSE,arboreal,FALSE,8.53,NA,8.53,NA,4.35,12.7
cercopithecus cephus,Cercopithecus cephus,Cercopithecus cephus,cercopithecus cephus,cercopithecus cephus,1,1,1,FALSE,50,1,50,50,23,1,1,FALSE,Primates,FALSE,arboreal,FALSE,0.42,NA,-0.42,NA,-6.05,5.2
cercopithecus denti,Cercopithecus denti,Cercopithecus denti,cercopithecus denti,cercopithecus denti,1,1,1,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,0.55,NA,0.55,NA,-3.05,4.16
cercopithecus diana,Cercopithecus diana,Cercopithecus diana,cercopithecus diana,cercopithecus diana,1,1,1,FALSE,50,1,50,50,37.3,1,1,FALSE,Primates,FALSE,arboreal,FALSE,6.65,NA,6.65,NA,4.35,8.95
cercopithecus doggetti,Cercopithecus doggetti,Cercopithecus doggetti,cercopithecus doggetti,cercopithecus doggetti,1,1,1,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,2.3,NA,-2.3,NA,-4.02,-0.57
cercopithecus dryas,Cercopithecus dryas,Cercopithecus dryas,cercopithecus dryas,cercopithecus dryas,1,1,1,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,1.59,NA,-1.59,NA,-4.14,0.95
cercopithecus erythrogaster,Cercopithecus erythrogaster,Cercopithecus erythrogaster,cercopithecus erythrogaster,cercopithecus erythrogaster,1,1,1,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,6.06,NA,6.06,NA,4.45,7.66
cercopithecus erythrotis,Cercopithecus erythrotis,Cercopithecus erythrotis,cercopithecus erythrotis,cercopithecus erythrotis,1,1,1,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,4.97,NA,4.97,NA,3.2,6.74
cercopithecus hamlyni,Cercopithecus hamlyni,Cercopithecus hamlyni,cercopithecus hamlyni,cercopithecus hamlyni,1,1,1,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,1.75,NA,-1.75,NA,-6.02,2.5
cercopithecus kandti,Cercopithecus kandti,Cercopithecus kandti,cercopithecus kandti,cercopithecus kandti,1,1,1,FALSE,60,1,60,60,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,2.16,NA,-2.16,NA,-2.98,-1.33
