scientific_name,routine_trichromacy,diet_pct_fruit_eltontraits,z_frugivory,longevity_years,log_longevity,abs_latitude,uv,foraging_stratum_eltontraits,arboreal,uv_arb,luv_arb,z_uv_arb
Saguinus midas,0,30,-0.5504559621322163,15.4,2.7343675094195836,0.17,0.9999955982815133,arboreal,0.1,0.09999955982815134,1.5399932213535308,-0.44987012910454605
Saguinus mystax,0,30,-0.5504559621322163,20,2.995732273553991,6.23,0.9940942793684235,arboreal,0.1,0.09940942793684236,1.9881885587368473,-0.45166299407757965
Saguinus niger,0,30,-0.5504559621322163,NA,NA,2.7800000000000002,0.9988231282767742,arboreal,0.1,0.09988231282767743,NA,-0.4502263342909438
Saguinus nigricollis,0,30,-0.5504559621322163,15.2,2.7212954278522306,3.04,0.9985927540074452,arboreal,0.1,0.09985927540074452,1.5178609860913166,-0.45029632372284045
Saguinus oedipus,0,30,-0.5504559621322163,23.1,3.139832617527748,9.219999999999999,0.987080395871597,arboreal,0.1,0.09870803958715971,2.2801557144633895,-0.4537938645205423
Saguinus pileatus,0,30,-0.5504559621322163,NA,NA,5.09,0.9960565652217835,arboreal,0.1,0.09960565652217836,NA,-0.4510668369090924
Saguinus tripartitus,0,30,-0.5504559621322163,NA,NA,2,0.9993908270190958,arboreal,0.1,0.09993908270190958,NA,-0.4500538631526553
Saimiri boliviensis,0,20,-1.0543476736913144,30.3,3.4111477125153233,11.05,0.9814602974323101,arboreal,0.1,0.09814602974323101,2.9738247012199,-0.45550129260317807
Saimiri oerstedii,0,20,-1.0543476736913144,NA,NA,8.77,0.9883083491752471,arboreal,0.1,0.09883083491752472,NA,-0.4534208030915537
Saimiri sciureus,0,20,-1.0543476736913144,27,3.295836866004329,0.64,0.9999376150010865,arboreal,0.1,0.09999376150010865,2.6998315605029335,-0.4498877448602831
Saimiri ustus,0,20,-1.0543476736913144,NA,NA,8.98,0.9877428863501856,arboreal,0.1,0.09877428863501857,NA,-0.45359259494139864
Saimiri vanzolinii,0,20,-1.0543476736913144,NA,NA,2.2800000000000002,0.9992083428780468,arboreal,0.1,0.09992083428780468,NA,-0.45010930320418263
Allenopithecus nigroviridis,1,50,0.45732746098598,23,3.1354942159291497,0.17,0.9999955982815133,scansorial,1,0.9999955982815133,22.999898760474807,2.284385377123058
Cercocebus agilis,1,70,1.4651108841041762,31,3.4339872044851463,3.9,0.9976842788356053,arboreal,0.1,0.09976842788356054,3.0928212643903765,-0.45057232529781877
Cercocebus atys,1,40,-0.04656425057311814,26.8,3.288401887516811,7.92,0.9904614256966512,arboreal,0.1,0.09904614256966512,2.6544366208670254,-0.45276668228630035
Cercocebus chrysogaster,1,70,1.4651108841041762,NA,NA,2.7,0.99888987496197,arboreal,0.1,0.09988898749619701,NA,-0.4502060561470718
Cercocebus galeritus,1,70,1.4651108841041762,21,3.044522437723423,2.1,0.9993283937786562,arboreal,0.1,0.09993283937786562,2.098589626935178,-0.4500728308396395
Cercocebus sanjei,1,70,1.4651108841041762,NA,NA,8.629999999999999,0.9886779489912628,arboreal,0.1,0.09886779489912628,NA,-0.45330851589373683
Cercocebus torquatus,1,70,1.4651108841041762,30,3.4011973816621555,4.2,0.9973144772244581,arboreal,0.1,0.09973144772244581,2.9919434316733744,-0.45068467380251104
Cercopithecus albogularis,1,50,0.45732746098598,NA,NA,12.6,0.9759167619387474,arboreal,0.1,0.09759167619387475,NA,-0.45718546028832574
Cercopithecus ascanius,1,50,0.45732746098598,28.3,3.342861804649192,2.71,0.9988816381214108,arboreal,0.1,0.09988816381214109,2.826835035883593,-0.45020855856104813
Cercopithecus campbelli,1,50,0.45732746098598,33,3.4965075614664802,8.53,0.9889383349666097,arboreal,0.1,0.09889383349666098,3.263496505389812,-0.453229408680325
Cercopithecus cephus,1,50,0.45732746098598,23,3.1354942159291497,0.42000000000000004,0.9999731328638829,arboreal,0.1,0.09999731328638829,2.2999382055869306,-0.44987695426701696
Cercopithecus denti,1,50,0.45732746098598,NA,NA,0.55,0.999953926969049,arboreal,0.1,0.0999953926969049,NA,-0.44988278916200075
Cercopithecus diana,1,50,0.45732746098598,37.3,3.6189933266497696,6.6499999999999995,0.9932720857793921,arboreal,0.1,0.09932720857793921,3.7049048799571325,-0.45191278266018925
