scientific_name_raw,scientific_name_display,scientific_name_clean_original,scientific_name_clean,merged_from_species,n_rows_collapsed,n_unique_input_species,routine_trichromacy,routine_trichromacy_conflict,diet_pct_fruit_eltontraits,longevity_years,log_longevity,abs_latitude,uv_i,foraging_stratum_eltontraits,foraging_stratum_conflict,arboreal_i,luv_raw,z_frugivory,z_luv,z_lifetime
Cercopithecus diana,Cercopithecus diana,cercopithecus diana,cercopithecus diana,cercopithecus diana,1,1,1,FALSE,50,37.3,3.6189933266497696,6.6499999999999995,0.9932720857793921,arboreal,FALSE,0.1,37.049048799571324,0.46045447477874507,0.8674784852744724,0.5979195176437238
Cercopithecus erythrogaster,Cercopithecus erythrogaster,cercopithecus erythrogaster,cercopithecus erythrogaster,cercopithecus erythrogaster,1,1,1,FALSE,50,24,3.1780538303479458,6.06,0.9944118881299167,arboreal,FALSE,0.1,23.865885315118,0.46045447477874507,-0.4355994919366671,-0.43004256698144416
Cercopithecus hamlyni,Cercopithecus hamlyni,cercopithecus hamlyni,cercopithecus hamlyni,cercopithecus hamlyni,1,1,1,FALSE,50,28.6,3.353406717825807,1.75,0.9995335908367129,arboreal,FALSE,0.1,28.58666069792999,0.46045447477874507,0.03102131906648801,-0.07450680838928064
Cercopithecus lhoesti,Cercopithecus lhoesti,cercopithecus lhoesti,cercopithecus lhoesti,cercopithecus lhoesti,1,1,1,FALSE,50,16,2.772588722239781,1.1300000000000001,0.9998055233121944,arboreal,FALSE,0.1,15.99688837299511,0.46045447477874507,-1.213403440898872,-1.048365625402598
Cercopithecus mitis,Cercopithecus mitis,cercopithecus mitis,cercopithecus mitis,cercopithecus mitis,1,1,1,FALSE,50,27.1,3.299533727885655,1.9,0.9994502159417572,arboreal,FALSE,0.1,27.085100852021622,0.46045447477874507,-0.1173990179015841,-0.19044238184324697
Cercopithecus mona,Cercopithecus mona,cercopithecus mona,cercopithecus mona,cercopithecus mona,1,1,1,FALSE,50,30,3.4011973816621555,6.83,0.9929033758229756,arboreal,FALSE,0.1,29.787101274689267,0.46045447477874507,0.1496777917993314,0.03369972683442115
Cercopithecus neglectus,Cercopithecus neglectus,cercopithecus neglectus,cercopithecus neglectus,cercopithecus neglectus,1,1,1,FALSE,50,26.3,3.269568939183719,1.11,0.9998123463078188,arboreal,FALSE,0.1,26.295064707895634,0.46045447477874507,-0.19548943237800528,-0.2522746876853624
Cercopithecus nictitans,Cercopithecus nictitans,cercopithecus nictitans,cercopithecus nictitans,cercopithecus nictitans,1,1,1,FALSE,50,23,3.1354942159291497,1.6900000000000002,0.9995650226315503,arboreal,FALSE,0.1,22.989995520525657,0.46045447477874507,-0.5221760335340802,-0.5073329492840883
Cercopithecus petaurista,Cercopithecus petaurista,cercopithecus petaurista,cercopithecus petaurista,cercopithecus petaurista,1,1,1,FALSE,30,19,2.9444389791664403,8.93,0.9878787241768515,arboreal,FALSE,0.1,18.76969575936018,-0.5472067671283634,-0.9393277803427645,-0.8164944784946653
Cercopithecus pogonias,Cercopithecus pogonias,cercopithecus pogonias,cercopithecus pogonias,cercopithecus pogonias,1,1,1,FALSE,50,24.1,3.1822118404966093,1.53,0.999643481727238,arboreal,FALSE,0.1,24.091407909626437,0.46045447477874507,-0.41330791324130906,-0.4223135287511796
